Description,Name,Number,Source
Number of Slot Machines in,Japan,"4,195,930",World Population Review (Feb 2026)
Number of Slot Machines in,United States,"900,704",World Population Review (Feb 2026)
Number of Slot Machines in,Italy,"407,267",World Population Review (Feb 2026)
Number of Slot Machines in,Germany,"245,000",World Population Review (Feb 2026)
Number of Slot Machines in,Spain,"212,153",World Population Review (Feb 2026)
Number of Slot Machines in,Australia,"192,800",World Population Review (Feb 2026)
Number of Slot Machines in,United Kingdom,"185,203",World Population Review (Feb 2026)
Number of Slot Machines in,Canada,"99,070",World Population Review (Feb 2026)
Number of Slot Machines in,Argentina,"97,555",World Population Review (Feb 2026)
Number of Slot Machines in,Colombia,"87,365",World Population Review (Feb 2026)
Number of Slot Machines in,Romania,"80,545",World Population Review (Feb 2026)
Number of Slot Machines in,Peru,"80,432",World Population Review (Feb 2026)
Number of Slot Machines in,Czechia,"58,837",World Population Review (Feb 2026)
Number of Slot Machines in,South Africa,"37,815",World Population Review (Feb 2026)
Number of Slot Machines in,Mexico,"34,830",World Population Review (Feb 2026)
Number of Slot Machines in,Netherlands,"32,889",World Population Review (Feb 2026)
Number of Slot Machines in,Greece,"26,951",World Population Review (Feb 2026)
Number of Slot Machines in,Belgium,"25,705",World Population Review (Feb 2026)
Number of Slot Machines in,Denmark,"25,000",World Population Review (Feb 2026)
Number of Slot Machines in,France,"21,987",World Population Review (Feb 2026)
Number of Slot Machines in,Slovakia,"21,609",World Population Review (Feb 2026)
Number of Slot Machines in,Philippines,"21,433",World Population Review (Feb 2026)
Number of Slot Machines in,Finland,"21,284",World Population Review (Feb 2026)
Number of Slot Machines in,Serbia,"19,462",World Population Review (Feb 2026)
Number of Slot Machines in,Bulgaria,"18,790",World Population Review (Feb 2026)
Number of Slot Machines in,New Zealand,"17,912",World Population Review (Feb 2026)
Number of Slot Machines in,Macau,"17,009",World Population Review (Feb 2026)
Number of Slot Machines in,Chile,"15,198",World Population Review (Feb 2026)
Number of Slot Machines in,Nicaragua,"14,133",World Population Review (Feb 2026)
Number of Slot Machines in,Puerto Rico,"13,607",World Population Review (Feb 2026)
Number of Slot Machines in,Panama,"11,043",World Population Review (Feb 2026)
Number of Slot Machines in,Croatia,"9,466",World Population Review (Feb 2026)
Number of Slot Machines in,Latvia,"8,720",World Population Review (Feb 2026)
Number of Slot Machines in,Slovenia,"8,072",World Population Review (Feb 2026)
Number of Slot Machines in,Russia,"7,439",World Population Review (Feb 2026)
Number of Slot Machines in,Austria,"7,238",World Population Review (Feb 2026)
Number of Slot Machines in,Singapore,"6,200",World Population Review (Feb 2026)
Number of Slot Machines in,Portugal,"5,585",World Population Review (Feb 2026)
Number of Slot Machines in,Georgia,"5,562",World Population Review (Feb 2026)
Number of Slot Machines in,Sweden,"5,100",World Population Review (Feb 2026)
Number of Slot Machines in,Uruguay,"4,985",World Population Review (Feb 2026)
Number of Slot Machines in,Switzerland,"4,607",World Population Review (Feb 2026)
Number of Slot Machines in,Cambodia,"4,495",World Population Review (Feb 2026)
Number of Slot Machines in,Lithuania,"4,405",World Population Review (Feb 2026)
Number of Slot Machines in,South Korea,"4,309",World Population Review (Feb 2026)
Number of Slot Machines in,Aruba,"3,570",World Population Review (Feb 2026)
Number of Slot Machines in,Moldova,"3,457",World Population Review (Feb 2026)
Number of Slot Machines in,Dominican Republic,"3,443",World Population Review (Feb 2026)
Number of Slot Machines in,Sint Maarten,"3,199",World Population Review (Feb 2026)
Number of Slot Machines in,Cyprus,"3,183",World Population Review (Feb 2026)
Number of Slot Machines in,Malaysia,"3,000",World Population Review (Feb 2026)
Number of Slot Machines in,Jamaica,"2,913",World Population Review (Feb 2026)
Number of Slot Machines in,Norway,"2,750",World Population Review (Feb 2026)
Number of Slot Machines in,Poland,"2,725",World Population Review (Feb 2026)
Number of Slot Machines in,Vietnam,"2,656",World Population Review (Feb 2026)
Number of Slot Machines in,Costa Rica,"2,392",World Population Review (Feb 2026)
Number of Slot Machines in,Curacao,"2,329",World Population Review (Feb 2026)
Number of Slot Machines in,Mauritius,"2,091",World Population Review (Feb 2026)
Number of Slot Machines in,Bahamas,"2,050",World Population Review (Feb 2026)
Number of Slot Machines in,Estonia,"1,954",World Population Review (Feb 2026)
Number of Slot Machines in,Belarus,"1,797",World Population Review (Feb 2026)
Number of Slot Machines in,Burkina Faso,"1,756",World Population Review (Feb 2026)
Number of Slot Machines in,Belize,"1,747",World Population Review (Feb 2026)
Number of Slot Machines in,Hungary,"1,729",World Population Review (Feb 2026)
Number of Slot Machines in,Montenegro,"1,536",World Population Review (Feb 2026)
Number of Slot Machines in,United States Virgin Islands,"1,300",World Population Review (Feb 2026)
Number of Slot Machines in,Trinidad and Tobago,"1,251",World Population Review (Feb 2026)
Number of Slot Machines in,Benin,"1,133",World Population Review (Feb 2026)
Number of Slot Machines in,Morocco,"1,075",World Population Review (Feb 2026)
Number of Slot Machines in,Paraguay,"1,050",World Population Review (Feb 2026)
Number of Slot Machines in,Monaco,"1,038",World Population Review (Feb 2026)
Number of Slot Machines in,Venezuela,"1,007",World Population Review (Feb 2026)
