Description,Name,Number,Source
Number of trees in,Belize,1.2B,World Population Review (Feb 2026)
Number of trees in,Kyrgyzstan,1.2B,World Population Review (Feb 2026)
Number of trees in,Switzerland,1.1B,World Population Review (Feb 2026)
Number of trees in,Dominican Republic,1.1B,World Population Review (Feb 2026)
Number of trees in,Albania,1.1B,World Population Review (Feb 2026)
Number of trees in,Guinea-Bissau,1B,World Population Review (Feb 2026)
Number of trees in,Togo,1B,World Population Review (Feb 2026)
Number of trees in,Burkina Faso,1B,World Population Review (Feb 2026)
Number of trees in,Pakistan,992.2M,World Population Review (Feb 2026)
Number of trees in,Hungary,983.4M,World Population Review (Feb 2026)
Number of trees in,Bangladesh,962.7M,World Population Review (Feb 2026)
Number of trees in,Eswatini,910.7M,World Population Review (Feb 2026)
Number of trees in,Somalia,879.8M,World Population Review (Feb 2026)
Number of trees in,New Caledonia,866M,World Population Review (Feb 2026)
Number of trees in,Algeria,835.2M,World Population Review (Feb 2026)
Number of trees in,Azerbaijan,774.2M,World Population Review (Feb 2026)
Number of trees in,Ireland,708.5M,World Population Review (Feb 2026)
Number of trees in,Lesotho,677.5M,World Population Review (Feb 2026)
Number of trees in,Iceland,662.8M,World Population Review (Feb 2026)
Number of trees in,North Macedonia,644.8M,World Population Review (Feb 2026)
Number of trees in,Montenegro,589.4M,World Population Review (Feb 2026)
Number of trees in,Vanuatu,572.4M,World Population Review (Feb 2026)
Number of trees in,Uruguay,543.4M,World Population Review (Feb 2026)
Number of trees in,Belgium,528.8M,World Population Review (Feb 2026)
Number of trees in,Iraq,523M,World Population Review (Feb 2026)
Number of trees in,Morocco,519M,World Population Review (Feb 2026)
Number of trees in,Timor-Leste,512M,World Population Review (Feb 2026)
Number of trees in,Jamaica,433.5M,World Population Review (Feb 2026)
Number of trees in,El Salvador,408.1M,World Population Review (Feb 2026)
Number of trees in,Armenia,401.7M,World Population Review (Feb 2026)
Number of trees in,Burundi,380M,World Population Review (Feb 2026)
Number of trees in,Afghanistan,363.4M,World Population Review (Feb 2026)
Number of trees in,Brunei,362.1M,World Population Review (Feb 2026)
Number of trees in,Rwanda,348.7M,World Population Review (Feb 2026)
Number of trees in,Netherlands,343.7M,World Population Review (Feb 2026)
Number of trees in,Denmark,303.7M,World Population Review (Feb 2026)
Number of trees in,Eritrea,303.3M,World Population Review (Feb 2026)
Number of trees in,Greenland,279.5M,World Population Review (Feb 2026)
Number of trees in,Puerto Rico,215.8M,World Population Review (Feb 2026)
Number of trees in,Trinidad and Tobago,207.7M,World Population Review (Feb 2026)
Number of trees in,Niger,206.8M,World Population Review (Feb 2026)
Number of trees in,Falkland Islands,187.2M,World Population Review (Feb 2026)
Number of trees in,Bahamas,172.5M,World Population Review (Feb 2026)
Number of trees in,Fiji,157M,World Population Review (Feb 2026)
Number of trees in,Tunisia,151.3M,World Population Review (Feb 2026)
Number of trees in,Haiti,149M,World Population Review (Feb 2026)
Number of trees in,Tajikistan,148.1M,World Population Review (Feb 2026)
Number of trees in,Moldova,136.2M,World Population Review (Feb 2026)
Number of trees in,Uzbekistan,114.5M,World Population Review (Feb 2026)
Number of trees in,Mauritania,114.3M,World Population Review (Feb 2026)
Number of trees in,Faroe Islands,105.6M,World Population Review (Feb 2026)
Number of trees in,Syria,100.1M,World Population Review (Feb 2026)
Number of trees in,Comoros,71.9M,World Population Review (Feb 2026)
Number of trees in,Egypt,68.3M,World Population Review (Feb 2026)
Number of trees in,Cyprus,63.1M,World Population Review (Feb 2026)
Number of trees in,Sao Tome and Principe,59.3M,World Population Review (Feb 2026)
Number of trees in,Guadeloupe,56.7M,World Population Review (Feb 2026)
Number of trees in,Luxembourg,55.5M,World Population Review (Feb 2026)
Number of trees in,Gambia,51.6M,World Population Review (Feb 2026)
Number of trees in,Samoa,40.7M,World Population Review (Feb 2026)
Number of trees in,Martinique,39.4M,World Population Review (Feb 2026)
Number of trees in,Dominica,36.9M,World Population Review (Feb 2026)
