Name,Source,Population,Yearly Change,Net Change,Density per km2,Land Area,Migrants,Fertility Rate,Median Age,Urban Population,World Share
Aruba,https://www.worldometers.info/world-population/aruba-population/,"108,164",0.02%,17,601,180,73,1.6,41.7,45.1%,0.0013%
Tonga,https://www.worldometers.info/world-population/tonga-population/,"103,291",−0.43%,−451,143,720,"−2,117",3.04,21,26.4%,0.0012%
St. Vincent & Grenadines,https://www.worldometers.info/world-population/saint-vincent-and-the-grenadines-population/,"99,245",−0.68%,−679,254,390,−671,1.73,34.7,62.6%,0.0012%
Antigua and Barbuda,https://www.worldometers.info/world-population/antigua-and-barbuda-population/,"94,626",0.44%,417,215,440,−2,1.57,36.7,28.6%,0.0011%
Isle of Man,https://www.worldometers.info/world-population/isle-of-man-population/,"84,055",−0.07%,−63,147,570,158,1.53,46.3,57.3%,0.0010%
Andorra,https://www.worldometers.info/world-population/andorra-population/,"83,753",1.02%,849,178,470,751,1.1,44.2,81.6%,0.0010%
U.S. Virgin Islands,https://www.worldometers.info/world-population/united-states-virgin-islands-population/,"83,400",−0.88%,−738,238,350,−360,2.05,44.9,–,0.0010%
Cayman Islands,https://www.worldometers.info/world-population/cayman-islands-population/,"77,196",1.78%,"1,352",322,240,888,1.5,39.1,88.5%,0.00093%
Dominica,https://www.worldometers.info/world-population/dominica-population/,"65,511",−0.55%,−360,87,750,−241,1.46,36.6,85.6%,0.00079%
Bermuda,https://www.worldometers.info/world-population/bermuda-population/,"64,459",−0.15%,−96,"1,289",50,−9,1.42,46.4,93%,0.00078%
Faeroe Islands,https://www.worldometers.info/world-population/faeroe-islands-population/,"56,526",0.94%,524,40,"1,396",311,2.19,37.1,39.5%,0.00068%
Greenland,https://www.worldometers.info/world-population/greenland-population/,"55,629",−0.21%,−116,0,"410,450",−249,1.9,35.5,91.2%,0.00067%
Turks and Caicos,https://www.worldometers.info/world-population/turks-and-caicos-islands-population/,"47,148",0.63%,293,50,950,151,1.43,39.6,80%,0.00057%
Saint Kitts & Nevis,https://www.worldometers.info/world-population/saint-kitts-and-nevis-population/,"46,992",0.15%,70,181,260,11,1.5,36.5,39.8%,0.00057%
American Samoa,https://www.worldometers.info/world-population/american-samoa-population/,"45,319",−1.54%,−710,227,200,"−1,004",2.22,29.1,–,0.00055%
Sint Maarten,https://www.worldometers.info/world-population/sint-maarten-population/,"44,447",1.19%,524,"1,307",34,485,1.42,42,99.6%,0.00054%
Northern Mariana Islands,https://www.worldometers.info/world-population/northern-mariana-islands-population/,"42,914",−1.44%,−627,93,460,−790,2.24,38.8,–,0.00052%
Gibraltar,https://www.worldometers.info/world-population/gibraltar-population/,"40,867",1.85%,741,"4,087",10,480,1.88,38.8,87.1%,0.00049%
Liechtenstein,https://www.worldometers.info/world-population/liechtenstein-population/,"40,368",0.6%,240,252,160,193,1.54,44.7,14.8%,0.00049%
British Virgin Islands,https://www.worldometers.info/world-population/british-virgin-islands-population/,"39,936",0.51%,204,266,150,105,1.06,39.1,43.9%,0.00048%
Monaco,https://www.worldometers.info/world-population/monaco-population/,"38,087",−0.66%,−254,"25,562",1,106,2.08,53.1,–,0.00046%
Marshall Islands,https://www.worldometers.info/world-population/marshall-islands-population/,"35,075",−3.33%,"−1,207",195,180,"−1,575",2.77,20.5,–,0.00042%
San Marino,https://www.worldometers.info/world-population/san-marino-population/,"33,605",0.1%,33,560,60,127,1.17,49.1,–,0.00040%
Caribbean Netherlands,https://www.worldometers.info/world-population/caribbean-netherlands-population/,"31,913",1.83%,575,97,328,509,1.44,39.7,64.9%,0.00038%
Palau,https://www.worldometers.info/world-population/palau-population/,"17,614",−0.28%,−49,38,460,−22,1.84,38.9,–,0.00021%
Anguilla,https://www.worldometers.info/world-population/anguilla-population/,"14,817",0.6%,89,165,90,33,1.34,39.1,–,0.00018%
Cook Islands,https://www.worldometers.info/world-population/cook-islands-population/,"12,826",−3.29%,−437,53,240,−419,1.98,38.1,–,0.00015%
Nauru,https://www.worldometers.info/world-population/nauru-population/,"12,101",0.63%,76,605,20,−111,3.21,20.2,93.8%,0.00015%
Saint Barthelemy,https://www.worldometers.info/world-population/saint-barthelemy-population/,"11,550",1.19%,136,550,21,143,0.84,39.1,–,0.00014%
Wallis & Futuna,https://www.worldometers.info/world-population/wallis-and-futuna-islands-population/,"11,113",−0.72%,−81,79,140,−80,1.39,38.6,–,0.00013%
Tuvalu,https://www.worldometers.info/world-population/tuvalu-population/,"9,362",−1.37%,−130,312,30,−225,3.1,24.1,89%,0.00011%
Saint Pierre & Miquelon,https://www.worldometers.info/world-population/saint-pierre-and-miquelon-population/,"5,513",−1.09%,−61,24,230,−9,1.28,47.6,–,0.000066%
Saint Helena,https://www.worldometers.info/world-population/saint-helena-population/,"5,147",−0.96%,−50,13,390,0,1.64,51,34.1%,0.000062%
Montserrat,https://www.worldometers.info/world-population/montserrat-population/,"4,328",−0.71%,−31,43,100,−10,1.45,41.8,11.7%,0.000052%
Falkland Islands,https://www.worldometers.info/world-population/falkland-islands-malvinas-population/,"3,465",−0.12%,−4,0,"12,170",−16,1.69,43.4,68.4%,0.000042%
Tokelau,https://www.worldometers.info/world-population/tokelau-population/,"2,691",3.18%,83,269,10,43,2.54,27.6,–,0.000032%
Niue,https://www.worldometers.info/world-population/niue-population/,"1,822",0.05%,1,7,260,2,2.44,35.1,45.2%,0.000022%
Holy See,https://www.worldometers.info/world-population/holy-see-population/,506,1%,5,"1,265",0,13,1,56.2,–,0.0000061%
